GenreCorrected,Count
biography|drama,60
biography|drama|history|thriller,1
biography|drama|music,1
biography|drama|romance,1
biography|drama|thriller,1
biography|history,2
biography|history|drama,1
biography|legend|devotional,1
biography|musical,6
biography|musical|drama,1
biography|patriotic|drama,1
biography|political|drama,1
biography|political|thriller,1
biography|romance|comedy,1
biography|sports,5
biography|sports|comedy|drama,1
biography|thriller,1
black,345
black|comedy,52
black|comedy|action,1
black|comedy|biography,1
black|comedy|romance,1
black|comedy|satire,1
black|comedy|thriller,1
blaxploitation,2
boxing|comedy,1
boxing|drama,2
buddy,2
buddy|comedy,2
buddy|supernatural,1
campus|drama,1
campus|romance,1
campus|thriller,1
cartoon,1
cartoon|short,1
chakravarthy|musical|hit,1
chambara,3
chanchal|chowdhury|masuma|rahman|nabila|partha|barua,1
charlie|chan,2
children,256
children|action,12
children|animation,6
children|animation|fantasy,1
children|children,1
children|comedy,6
children|comedy|drama,1
children|comedy|romance,1
children|crime|drama,1
children|crime|drama|romance,1
children|drama,106
children|drama|comedy,2
children|drama|romance,3
children|drama|sports,1
children|drama|thriller,1
children|fantasy,20
children|live|action,5
children|live|action|animation,2
children|musical,5
children|musical|romance,1
children|mystery,1
children|romance,4
children|romance|action,1
children|romance|drama,3
children|sports,1
children|sports|comedy,1
children|thriller,2
children|thriller|drama,1
children||drama,1
chiranjeevi|trisha|krishnan|khushboo,1
christian,4
christian|drama,2
classic|religious,1
clay|animation,1
cold|action,1
colonial|action,1
comedic|drama,1
comedy,4411
comedy|action,76
comedy|action|action,2
comedy|action|action|animation,1
comedy|action|animation|fantasy,1
comedy|action|crime,1
comedy|action|drama,1
comedy|action|fantasy,3
comedy|action|mystery|action,1
comedy|action|mystery|crime,1
comedy|action|thriller,1
comedy|adult,2
comedy|adult|comedy,1
comedy|animation|action,1
comedy|animation|children|action,1
comedy|animation|fantasy,1
comedy|anthology,1
comedy|biography,6
comedy|children,40
comedy|children|drama,1
comedy|comedy|comedy,1
comedy|crime,49
comedy|crime|drama,1
comedy|crime|drama|thriller,1
comedy|crime|romance,2
comedy|crime|thriller,1
comedy|cult,1
comedy|documentary,1
comedy|drama,560
comedy|drama|action,4
comedy|drama|animation,1
comedy|drama|children,6
comedy|drama|crime,2
comedy|drama|crime|thriller,1
comedy|drama|fantasy,2
comedy|drama|musical,4
comedy|drama|romance,18
comedy|drama|romance|children,2
comedy|drama|romance|comedy|youth|science|fantasy,2
comedy|drama|romance|musical,1
comedy|drama|slice_of_life|action,2
comedy|drama|sports,1
comedy|drama|teen,1
comedy|drama|thriller,2
comedy|drama|thriller|mystery|thriller,1
comedy|fantasy,25
comedy|fantasy|action,1
comedy|fantasy|action|costume,2
comedy|fantasy|drama,1
comedy|history,1
comedy|love|story|drama,1
comedy|masala,1
comedy|musical,71
comedy|musical|romance|children,1
comedy|mystery,24
comedy|parody,8
comedy|road,3
comedy|romance,112
comedy|romance|action|action,1
comedy|romance|drama,3
comedy|romance|drama|musical,1
comedy|romance|fantasy,3
comedy|romance|musical,3
comedy|romance|slice_of_life,1
comedy|romance|thriller,1
comedy|satire,7
comedy|short,53
comedy|sports,11
comedy|teen,8
comedy|thriller,78
comedy|thriller|mystery,1
comedy|thriller|teen,1
comedy||musical,2
coming_of_age,2
coming_of_age|drama,6
compilation,1
concert,1
concert|documentary,1
conspiracy|thriller,1
costume,4
costume|action,5
costume|action|action,2
costume|comedy,1
costume|drama,16
costume|fantasy,1
costume||drama,1
counterculture,1
cowboy,1
crime,573
crime|action,16
crime|action|romance,1
crime|biography,2
crime|black,1
crime|children,2
crime|comedy,59
crime|comedy|drama,1
crime|comedy|drama|mystery|thriller,1
crime|dark|comedy,1
crime|drama,502
crime|drama|action,3
crime|drama|biography,1
crime|drama|children,1
crime|drama|comedy,2
crime|drama|mystery,4
crime|drama|mystery|jidaigeki,1
crime|drama|romance,1
crime|drama|thriller,5
crime|fiction|drama|history,1
crime|musical,1
crime|mystery,2
crime|political|thriller,1
crime|romance,6
crime|thriller,87
crime|thriller|dark|comedy,1
crime|thriller|drama,1
crime|thriller|mystery|thriller,1
crime|thriller|neoblack,1
crime|thriller|romance,3
crime||drama,1
crime||romance,1
critically|acclaimed,1
cult,1
cult|drama,1
dance,4
dance|drama,4
